物料号,物料描述,栓编码,母编码,平垫97编码,平垫95编码,弹垫编码,是否双平,
11140300281,半圆头方颈螺栓副_DIN603_M10*45_8.8-电镀锌,TDGG00097,FAA01001,GBH01001,,,1,
11140100096,螺钉副_GB/T70.1_M12*35_8.8-电镀锌,AAO1203501,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140100102,螺钉副_GB/T70.2_M6*16_8.8-电镀锌_一母一平一弹,AAP0601601,FAA00601,GAB00601,GBG00601,GAE00601,1,
11140300036,螺栓副_GB/T5782_M10*130_8.8-电镀锌,AAC1013001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300155,螺栓副_GB/T5782_M12*100_8.8-电镀锌,AAC1210001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300124,螺栓副_GB/T5782_M12*120_8.8-电镀锌,AAC1212001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300145,螺栓副_GB/T5782_M12*130_8.8-电镀锌,AAC1213001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300143,螺栓副_GB/T5782_M12*140_8.8-电镀锌,TDGG00098,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300144,螺栓副_GB/T5782_M12*150_8.8-电镀锌,AAC1215001,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300142,螺栓副_GB/T5782_M12*160_8.8-电镀锌,TDGG00099,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300182,螺栓副_GB/T5782_M12*65_8.8-电镀锌,AAC1206501,FAA01201,GAB01201,GBG01201,GAE01201,1,
11140300164,螺栓副_GB/T5782_M16*120_8.8-电镀锌,AAC1612001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300117,螺栓副_GB/T5782_M16*130_8.8-电镀锌,AAC1613001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300211,螺栓副_GB/T5782_M16*140_8.8-电镀锌,AAC1614001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300116,螺栓副_GB/T5782_M16*150_8.8-电镀锌,AAC1615001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300115,螺栓副_GB/T5782_M16*160_8.8-电镀锌,AAC1616001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300114,螺栓副_GB/T5782_M16*170_8.8-电镀锌,TDGG00105,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300113,螺栓副_GB/T5782_M16*180_8.8-电镀锌,AAC1618001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300109,螺栓副_GB/T5782_M16*190_8.8-电镀锌,TDGG00106,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300112,螺栓副_GB/T5782_M16*210_8.8-电镀锌,TDGG00107,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300111,螺栓副_GB/T5782_M16*220_8.8-电镀锌,AAC1622001,FAA01601,GAB01601,GBG01601,GAE01601,1,
11140300123,螺栓副_GB/T5782_M20*120_8.8-电镀锌,AAC2012001,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300320,螺栓副_GB/T5782_M20*220_8.8-电镀锌,TDGG00108,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300355,螺栓副_GB/T5782_M20*230_8.8-电镀锌,TDGG00109,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300292,螺栓副_GB/T5782_M20*250_8.8-电镀锌,TDGG00110,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300343,螺栓副_GB/T5782_M20*260_8.8-电镀锌,TDGG00111,FAA02001,GAB02001,GBG02001,GAE02001,1,
11140300213,螺栓副_GB/T5782_M22*120_8.8-电镀锌,TDGG00112,FAA02201,GAB02201,GBG02201,GAE02201,1,
11140300326,螺栓副_GB/T5782_M24*180_8.8-电镀锌,AAC2418001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300327,螺栓副_GB/T5782_M24*220_8.8-电镀锌,AAC2422001,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300342,螺栓副_GB/T5782_M24*230_8.8-电镀锌,TDGG00113,FAA02401,GAB02401,GBG02401,GAE02401,1,
11140300305,螺栓副_GB/T5782_M27*220_8.8-电镀锌,TDGG00114,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300377,螺栓副_GB/T5782_M27*270_8.8-电镀锌,TDGG00115,FAA02701,GAB02701,11090200108,GAE02701,1,
11140300293,螺栓副_GB/T5782_M8*120_8.8-电镀锌,AAC0812001,FAA00801,GAB00801,GBG00801,GAE00801,1,
11140300379,螺栓副_GB/T5783_M10*100_8.8-电镀锌,AAD1010001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300180,螺栓副_GB/T5783_M10*20_8.8-电镀锌,AAD1002001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300038,螺栓副_GB/T5783_M10*25_8.8-电镀锌,AAD1002501,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300199,螺栓副_GB/T5783_M10*25_8.8-电镀锌_一母双平一弹,AAD1002501,FAA01001,GAB01001,GBG01001,GAE01001,2,
11140300022,螺栓副_GB/T5783_M10*30_8.8-电镀锌,AAD1003001,FAA01001,GAB01001,GBG01001,GAE01001,1,
AAC1003001_SS,螺栓副_GB/T5783_M10*30_8.8-电镀锌_一母双平一弹,AAD1003001,FAA01001,GAB01001,GBG01001,GAE01001,2,
11140300023,螺栓副_GB/T5783_M10*35_8.8-电镀锌,AAD1003501,FAA01001,GAB01001,GBG01001,GAE01001,1,
AAC1003501_SS,螺栓副_GB/T5783_M10*35_8.8-电镀锌_一母双平一弹,AAD1003501,FAA01001,GAB01001,GBG01001,GAE01001,2,
11140300005,螺栓副_GB/T5783_M10*40_8.8-电镀锌,AAD1004001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300249,螺栓副_GB/T5783_M10*40_8.8-电镀锌_一母双平一弹,AAD1004001,FAA01001,GAB01001,GBG01001,GAE01001,2,
11140300126,螺栓副_GB/T5783_M10*45_8.8-电镀锌,AAD1004501,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300024,螺栓副_GB/T5783_M10*50_8.8-电镀锌,AAD1005001,FAA01001,GAB01001,GBG01001,GAE01001,1,
AAC1005001_SS,螺栓副_GB/T5783_M10*50_8.8-电镀锌_一母双平一弹,AAD1005001,FAA01001,GAB01001,GBG01001,GAE01001,2,
11140300043,螺栓副_GB/T5783_M10*60_8.8-电镀锌,AAD1006001,FAA01001,GAB01001,GBG01001,GAE01001,1,
11140300429,螺栓副_GB/T5783_M10*65_8.8-电镀锌,AAD1006501,FAA01001,GAB01001,GBG01001,GAE01001,1,
